OBJECTID,CSA2010,trees11,trees17,Shape__Area,Shape__Length
1,Allendale/Irvington/S. Hilton,32.8716374559374,32.3729128252428,63770461.7796021,38770.1655712393
2,Beechfield/Ten Hills/West Hills,48.8254570456123,48.6969738536408,47882527.7110596,37524.9505334171
3,Belair-Edison,20.3580729620662,20.8271249244012,44950030.4716797,31307.3148434597
4,Brooklyn/Curtis Bay/Hawkins Point,14.4599354445453,14.6318577979818,176077742.748718,150987.703638772
5,Canton,10.2325150963579,12.5166188501406,15408538.2247314,23338.6119476477
6,Cedonia/Frankford,29.0259756263303,29.9136036708748,71541340.3063965,39962.5498347165
7,Cherry Hill,18.9310309782376,20.8275501953477,29144181.3516235,22305.3020666822
8,Chinquapin Park/Belvedere,39.9517801942212,39.5494225424018,21022590.1307373,21705.411630344
9,Claremont/Armistead,28.6748639616118,29.3814043473004,61243774.4211426,40104.415980189
10,Clifton-Berea,8.22637645024124,8.62583131635551,23285233.9251099,24022.7646207842
11,Cross-Country/Cheswolde,48.1532446758194,47.528356167782,38222018.3164673,26788.3018783838
12,Dickeyville/Franklintown,71.6644151258965,72.9163135348242,35719112.4142456,31637.8174237991
13,Dorchester/Ashburton,30.4184116471618,29.5530191819181,34118277.1812134,27136.0757115219
14,Downtown/Seton Hill,6.85343366161066,7.35769776425148,20736554.4064941,21565.859394559
15,Edmondson Village,55.0862299957012,54.9439182648983,23563061.0443115,21504.551357829
16,Fells Point,7.3719649877771,8.65077960682772,12620515.7171631,27670.1699158053
17,Forest Park/Walbrook,52.8946585964153,53.1119646107924,37200535.0296631,36886.8997811279
18,Glen-Fallstaff,28.2213262036028,27.9370179953021,46995477.4781494,48549.0046179293
19,Greater Charles Village/Barclay,23.1996468857575,23.2709117110182,27051213.4559937,26454.2692113332
20,Greater Govans,32.0769626793359,31.607310411063,22698495.7178955,22982.125714974
21,Greater Mondawmin,21.8110097905693,21.4574987687235,33663448.2791138,31136.7318903515
22,Greater Roland Park/Poplar Hill,58.7351039524454,59.767093971074,56688145.1790161,39862.7497953118
23,Greater Rosemont,27.4015842795095,26.6251080826544,42204384.5406494,32559.0762211491
24,Greenmount East,13.5984839572215,13.7453724703289,19072287.8240967,20797.4734578598
25,Hamilton,34.2458510822535,34.8422893116031,45191100.5593872,27712.1110915054
26,Harbor East/Little Italy,6.5045273941557,7.32308964500335,10215859.0836182,18552.4075815937
27,Harford/Echodale,29.8687825892773,29.5970309161524,65360039.1698608,40019.1854001996
28,Highlandtown,3.18834223273199,4.14701364489258,11684191.1186523,14976.1238513698
29,Howard Park/West Arlington,39.5401630495406,38.3363363879341,63262430.0730591,36034.4984469719
30,Inner Harbor/Federal Hill,8.6299053065597,9.88681464420267,24995836.2615967,43415.0595478862
31,Lauraville,39.9805324666421,40.3359826923609,49665744.2354736,34419.676527973
32,Loch Raven,33.16970701034,32.2212976148564,44147812.3265381,29314.3346718286
33,Madison/East End,6.00209363631164,6.33714104789079,8897845.19189453,13120.1587193642
34,Medfield/Hampden/Woodberry/Remington,32.0869044667609,32.4854727953352,62441489.2398071,43152.625699222
35,Midtown,13.4073695145062,13.8293860159574,23823949.9294434,25020.0969698082
36,Midway/Coldstream,12.0494140728337,12.6513496753898,17884471.2862549,22767.8274161904
37,Morrell Park/Violetville,25.3280179747624,25.8242011707624,67470845.9901123,44412.745130342
38,Mount Washington/Coldspring,65.9543180333741,66.6179090117268,56943058.6497192,38539.7661484899
39,North Baltimore/Guilford/Homeland,49.6001282683872,50.4042058656191,74923987.6937256,42904.2221443544
40,Northwood,28.3124567348002,27.9317200203979,52743271.7706299,38889.8945908862
41,Oldtown/Middle East,10.1002821855661,10.1496352917164,24585968.2341919,23866.3281788863
42,Orangeville/East Highlandtown,12.6169655796834,12.1740891345782,89894372.2113037,47825.8629266244
43,Patterson Park North & East,5.50726254265894,6.45356373072198,14507643.2044067,21786.3746601014
44,Penn North/Reservoir Hill,41.2217944796196,40.4259259501928,41059796.6773071,29078.8384985548
45,Pimlico/Arlington/Hilltop,23.136432323384,22.420099728506,30400962.0054932,24725.9340693612
46,Poppleton/The Terraces/Hollins Market,13.9627626854979,15.2956354735242,9302012.99926758,12334.0275347411
47,Sandtown-Winchester/Harlem Park,15.421205131086,16.1691829334169,23672092.8682861,20987.1433066354
48,South Baltimore,4.96455366494243,5.8144663991809,46353935.4255981,68440.0258266401
49,Southeastern,4.91579983931311,5.08376434869773,111251478.472229,102291.480547698
50,Southern Park Heights,29.5489551920687,29.1435308941343,27876227.5908203,24052.221372193
51,Southwest Baltimore,14.1268343895109,15.1605427208896,37766068.8365479,28355.563581391
52,The Waverlies,19.8173883221856,20.5023505900283,20383750.5437012,18733.826879757
53,Upton/Druid Heights,14.4572280110483,15.5162372557557,16976622.3380127,19389.3078212169
54,Washington Village/Pigtown,11.352365738588,12.4843562674219,39343262.0375977,36962.2600947677
55,Westport/Mount Winans/Lakeland,21.9623067684284,20.9901699357931,45494092.9501953,42573.1244161851
