OBJECTID,CSA2010,mhhi10,mhhi11,mhhi12,mhhi13,mhhi14,mhhi15,mhhi16,mhhi17,mhhi18,mhhi19,CSA2020,mhhi20,mhhi21,mhhi22,mhhi23,Shape__Area,Shape__Length
1,Allendale/Irvington/S. Hilton,33563.12,33504.324120603,33177.6589147287,38129.0733082707,35958.2533512064,36701.906741573,37302.1710526316,39495.6284722222,38535.5621761658,43019.75792,Allendale/Irvington/S. Hilton,42714.60327,44392.37978,46005.6,52035.6296296296,63770461.7796021,38770.1655712393
2,Beechfield/Ten Hills/West Hills,50780.92,50439.7395128552,50135.1216216216,49807.8617647059,52622.6885245902,51537.5820754717,53565.0796979866,57572.5027472527,58055.3066132264,55017.77971,Beechfield/Ten Hills/West Hills,55435.50291,53498.49538,59248.52,74969.4950980392,47882527.7110596,37524.9505334171
3,Belair-Edison,42920.83,45149.3725099602,46743.2818471338,43903.9013377926,38905.9241982507,38173.9682539683,40482.3596491228,39624.4820846905,42633.6195121951,46703.93468,Belair-Edison,50010.43737,46166.43333,51016.16,52598.48,44950030.4716797,31307.3148434597
4,Brooklyn/Curtis Bay/Hawkins Point,32888.5,33644.0521885522,33526.3646496815,34419.9652509653,35861.8965517241,36679.0534351145,38603.9302325581,40275.2753303964,39936.5125,39162.13858,Brooklyn/Curtis Bay/Hawkins Point,32598.81788,35212.2863,40253.11,38121.6815718157,176077742.748718,150987.703638771
5,Canton,74685.14,82129.5691747573,84978.1416309013,90862.7129237288,91735.6527355623,95362.400309119,103281.832191781,111891.251824817,116911.088235294,128460.4821,Canton,134208.7611,135434.8504,149999,165587.17953668,15408538.2247314,23338.6119476477
6,Cedonia/Frankford,38969.08,39144.1096625767,39556.1150712831,38117.9329896907,39306.1430700447,39300.3550347222,39807.0321316614,41625.5916870415,44159.5452830188,47258.03394,Cedonia/Frankford,51097.82835,52128.69336,53746.33,54053.640037594,71541340.3063965,39962.5498347166
7,Cherry Hill,18602.22,21038.2538461538,22980.5358490566,23918.7076271186,22658.5590909091,22403.3653846154,23585.1414141414,24250.9744525547,25132.3264705882,26654.08088,Cherry Hill,24762.08057,25177.74222,27244,27908.57421875,29144181.3516235,22305.3020666822
8,Chinquapin Park/Belvedere,44659.56,44853.3980582524,42852.9646464647,47600.4898989899,44252.6215277778,45454.4545454545,48622.4637681159,54249.575,55713.7142857142,57082.625,Chinquapin Park/Belvedere,59616.52459,64359.08438,64335.15,67885.1160714286,21022590.1307373,21705.411630344
9,Claremont/Armistead,33236.03,30918.4209302326,31970.5052910053,32827.8241525424,34034.1474164134,33179.5110294118,33108.2343173432,34792.619266055,34885.3863636363,35245.61561,Orchard Ridge/Armistead,40449.70084,42895.4604,44906.43,50187.6398305085,61243774.4211426,40104.415980189
10,Clifton-Berea,26147.87,26431.6756329114,24883.9335038363,25586.8391304348,25737.9476190476,29364.2063492063,29828.5795454545,32288.6987951807,31291.1324503311,34652.24855,Clifton-Berea,39619.076,42095.44549,39964.76,41380.3026315789,23285233.9251099,24022.7646207842
11,Cross-Country/Cheswolde,56275.65,52728.2217741935,55840.2230941704,54641.6410526316,54867.9342105263,55964.3157894737,58882.0904255319,56167.0479041916,55673.5898876404,58843.73705,Cross-Country/Cheswolde,63371.33486,69921.61831,71626.32,82309.5440528634,38222018.3164673,26788.3018783839
12,Dickeyville/Franklintown,33707,33433,32487,31701,32768,35773.0412371134,39124.175,41463.1219512195,37847.5316455696,44530.34375,Dickeyville/Franklintown,45807.76524,50919.64047,54743.46,59970.6894736842,35719112.4142456,31637.8174237991
13,Dorchester/Ashburton,41474.06,37945.0630434783,36715.1380753138,36856.7714285714,36870.3155172414,38682.8915929204,44053.5932642487,43640.5760869565,45497.3494897959,49651.24348,Dorchester/Ashburton,55345.78571,53704.23002,54880.18,50367.2443181818,34118277.1812134,27136.0757115219
14,Downtown/Seton Hill,33873.68,38145.6292517007,41365.8469945355,40685.8384146341,44819.3952095808,46132.8669064748,47654.8361581921,53762.8745583038,57516.7307692307,61734.57823,Downtown/Seton Hill,59158.50435,59907.09743,59957.82,65082.1467181467,20736554.4064941,21565.859394559
15,Edmondson Village,40121.75,38078.2019704433,37537.5634517767,36245.3024911032,36647.7150837989,38042.3778280543,39102.0502392344,41642.113372093,43809.8105726872,43626.5067,Edmondson Village,44911.29825,48218.10625,52033.13,46302.4202453988,23563061.0443115,21504.551357829
16,Fells Point,64113.16,69105.137075718,73083.9230019493,73801.4991935484,77433.3760504202,82263.222972973,87653.8148148148,91207.1669626998,98981.9100642398,98991.80888,Fells Point,97869.61329,93177.37745,108242.9,104262.222321429,12620515.7171631,27670.1699158053
17,Forest Park/Walbrook,36858.6,37140.7200956938,36737.1525,37351.8502109705,37160.5847457627,39204.7663551402,40478.6276595745,42499.5,44764.3051643192,44664.01546,Forest Park/Walbrook,48992.13428,51220.89799,58308.23,71156.8245033113,37200535.0296631,36886.8997811279
18,Glen-Fallstaff,35785.18,37372.3238747554,37344.6637168142,40718.8827433628,39694.1829268293,39690.7506702413,39313.5415512465,40869.826,42439.089123867,40970.27004,Glen-Fallstaff,44228.12617,50175.42105,53476.61,55265.3262032086,46995477.4781494,48549.0046179292
19,Greater Charles Village/Barclay,31658.96,30130.7877906977,28899.22,30011.1336302895,30845.2415458937,32241.1382211538,34641.9285714286,39097.2196078431,42852.4828244274,46334.96023,Greater Charles Village/Barclay,45797.71277,50876.20103,48704.21,63578.1875,27051213.4559937,26454.2692113332
20,Greater Govans,36069.82,34075.2717391304,38396.1966292135,34578.523364486,36530.7015503876,37457.3143459916,39829.034,41249.75,42666.7893700787,42173.47826,Greater Govans,43781.9232,47149.91958,54125.98,56858.0930232558,22698495.7178955,22982.125714974
21,Greater Mondawmin,37034.48,35203.4476744186,38912.2608695652,38014.5484848485,38655.1827956989,35968.3926701571,35968.3926701571,37254.4509803921,36968.7842465753,33663.38931,Greater Mondawmin,40488.62406,43574.285,46825.03,45568.5380434783,33663448.2791138,31136.7318903515
